event,team_h,team_a,team_h_difficulty,team_a_difficulty
28,Leicester,Stoke,2,4
28,Crystal Palace,Spurs,4,3
28,Brighton,Swansea,2,3
28,Bournemouth,Newcastle,2,3
28,Arsenal,Man City,4,4
28,Burnley,Southampton,2,2
29,Southampton,Stoke,2,2
29,Spurs,Huddersfield,2,4
29,Watford,West Brom,2,3
29,Man City,Chelsea,4,5
29,Swansea,West Ham,2,2
29,Leicester,Bournemouth,2,4
29,Crystal Palace,Man Utd,3,2
29,Burnley,Everton,2,2
29,Brighton,Arsenal,3,3
29,Liverpool,Newcastle,2,4
30,West Ham,Burnley,2,2
30,West Brom,Leicester,2,2
30,Stoke,Man City,4,3
30,Newcastle,Southampton,2,2
30,Man Utd,Liverpool,4,4
30,Huddersfield,Swansea,2,2
30,Everton,Brighton,2,3
30,Chelsea,Crystal Palace,2,4
30,Bournemouth,Spurs,4,3
30,Arsenal,Watford,2,4
31,Spurs,Newcastle,2,4
31,Swansea,Southampton,2,3
31,Stoke,Everton,2,2
31,Man City,Brighton,2,5
31,West Ham,Man Utd,3,2
31,Leicester,Arsenal,2,3
31,Huddersfield,Crystal Palace,2,3
31,Burnley,Chelsea,2,2
31,Bournemouth,West Brom,2,3
31,Liverpool,Watford,2,4
32,West Brom,Burnley,2,2
32,Watford,Bournemouth,2,4
32,Newcastle,Huddersfield,2,2
32,Man Utd,Swansea,2,4
32,West Ham,Southampton,2,3
32,Crystal Palace,Liverpool,4,2
32,Chelsea,Spurs,4,4
32,Brighton,Leicester,2,3
32,Arsenal,Stoke,2,4
32,Everton,Man City,4,3
33,West Brom,Swansea,2,2
33,Watford,Burnley,2,3
33,Stoke,Spurs,4,2
33,Man City,Man Utd,4,5
33,Leicester,Newcastle,2,4
33,Everton,Liverpool,4,2
33,Brighton,Huddersfield,2,3
33,Bournemouth,Crystal Palace,2,3
33,Arsenal,Southampton,2,4
33,Chelsea,West Ham,2,4
34,Southampton,Chelsea,2,2
34,Spurs,Man City,4,4
34,Swansea,Everton,2,3
34,West Ham,Stoke,2,3
34,Newcastle,Arsenal,3,3
34,Huddersfield,Watford,2,2
34,Liverpool,Bournemouth,2,4
34,Crystal Palace,Brighton,2,2
34,Burnley,Leicester,2,2
34,Man Utd,West Brom,2,4
35,West Brom,Liverpool,4,2
35,Watford,Crystal Palace,2,4
35,Stoke,Burnley,3,2
35,Man City,Swansea,2,5
35,Leicester,Southampton,2,4
35,Everton,Newcastle,2,3
35,Chelsea,Huddersfield,2,4
35,Brighton,Spurs,4,3
35,Bournemouth,Man Utd,4,3
35,Arsenal,West Ham,2,4
36,Spurs,Watford,2,4
36,West Ham,Man City,4,3
36,Southampton,Bournemouth,2,2
36,Newcastle,West Brom,2,3
36,Swansea,Chelsea,3,2
36,Liverpool,Stoke,2,4
36,Huddersfield,Everton,2,3
36,Crystal Palace,Leicester,3,2
36,Burnley,Brighton,2,2
36,Man Utd,Arsenal,3,4
37,West Brom,Spurs,4,2
37,Watford,Newcastle,2,3
37,Man City,Huddersfield,2,5
37,Leicester,West Ham,2,4
37,Stoke,Crystal Palace,2,2
37,Chelsea,Liverpool,4,4
37,Brighton,Man Utd,4,3
37,Bournemouth,Swansea,2,3
37,Arsenal,Burnley,3,4
37,Everton,Southampton,2,3
38,Spurs,Leicester,2,4
38,Burnley,Bournemouth,2,2
38,Crystal Palace,West Brom,2,2
38,Huddersfield,Arsenal,2,3
38,Liverpool,Brighton,2,4
38,Man Utd,Watford,2,4
38,Newcastle,Chelsea,3,3
38,Southampton,Man City,5,2
38,Swansea,Stoke,2,3
38,West Ham,Everton,2,2
