,Date,Time,Matchweek,Day,Venue,Result,Goals Scored,Goals Conceded,Opponent,xG,xGA,Possession,Attendance,Captain,Formation,Opposition Formation,Referee
35,2024-05-05,14:00 ,36,Sun,Away,L,0,5,Chelsea,0.9,4.1,31,"39,295",Kurt Zouma,4-2-3-1,4-2-3-1,Andy Madley
36,2024-05-11,15:00 ,37,Sat,Home,W,3,1,Luton Town,3.2,0.3,58,"62,475",Kurt Zouma,4-2-3-1,3-4-3,Michael Oliver
37,2024-05-19,16:00 ,38,Sun,Away,L,1,3,Manchester City,0.4,1.9,29,"55,097",Kurt Zouma,3-4-3,4-1-4-1,John Brooks
38,2022-08-07,16:30 ,1,Sun,Home,L,0,2,Manchester City,0.5,2.2,25,"62,443",Declan Rice,4-2-3-1,4-3-3,Michael Oliver
39,2022-08-14,14:00 ,2,Sun,Away,L,0,1,Nott'ham Forest,2.1,1.3,57,"29,281",Declan Rice,4-3-3,3-4-1-2,Robert Jones
40,2022-08-21,14:00 ,3,Sun,Home,L,0,2,Brighton,0.8,1.7,50,"62,449",Declan Rice,4-2-3-1,3-5-1-1,Anthony Taylor
41,2022-08-28,14:00 ,4,Sun,Away,W,1,0,Aston Villa,0.6,0.5,42,"41,796",Declan Rice,3-5-2,4-3-1-2,David Coote
42,2022-08-31,19:45 ,5,Wed,Home,D,1,1,Tottenham,1.2,0.6,39,"62,450",Declan Rice,4-2-3-1,3-4-3,Peter Bankes
43,2022-09-03,15:00 ,6,Sat,Away,L,1,2,Chelsea,1.1,0.9,33,"39,923",Declan Rice,3-4-1-2,3-1-4-2,Andy Madley
44,2022-09-18,14:15 ,8,Sun,Away,L,0,1,Everton,1.0,0.4,47,"39,298",Declan Rice,4-2-3-1,4-3-3,Michael Oliver
45,2022-10-01,17:30 ,9,Sat,Home,W,2,0,Wolves,0.9,0.7,39,"62,444",Declan Rice,4-2-3-1,3-4-3,Paul Tierney
46,2022-10-09,14:00 ,10,Sun,Home,W,3,1,Fulham,2.4,0.7,50,"62,407",Declan Rice,4-2-3-1,4-2-3-1,Chris Kavanagh
47,2022-10-16,14:00 ,11,Sun,Away,D,1,1,Southampton,1.7,0.5,61,"29,159",Declan Rice,3-4-3,4-3-3,Peter Bankes
48,2022-10-19,19:30 ,12,Wed,Away,L,0,1,Liverpool,1.7,1.7,46,"52,982",Declan Rice,4-4-2,4-4-2,Stuart Attwell
49,2022-10-24,20:00 ,13,Mon,Home,W,2,0,Bournemouth,1.9,0.4,55,"62,447",Declan Rice,4-2-3-1,4-2-3-1,David Coote
50,2022-10-30,16:15 ,14,Sun,Away,L,0,1,Manchester Utd,1.1,1.2,47,"73,682",Declan Rice,4-2-3-1,4-2-3-1,Chris Kavanagh
51,2022-11-06,14:00 ,15,Sun,Home,L,1,2,Crystal Palace,0.3,1.0,42,"62,451",Declan Rice,4-2-3-1,4-3-3,Paul Tierney
52,2022-11-12,15:00 ,16,Sat,Home,L,0,2,Leicester City,1.4,1.8,54,"62,459",Declan Rice,4-2-3-1,4-1-4-1,Jarred Gillett
53,2022-12-26,20:00 ,17,Mon,Away,L,1,3,Arsenal,1.0,2.1,34,"60,125",Declan Rice,4-2-3-1,4-3-3,Michael Oliver
54,2022-12-30,19:45 ,18,Fri,Home,L,0,2,Brentford,1.3,1.6,63,"62,467",Declan Rice,3-4-3,3-5-2,Darren England
55,2023-01-04,19:45 ,19,Wed,Away,D,2,2,Leeds United,1.4,1.6,38,"36,173",Declan Rice,4-3-3,4-2-3-1,David Coote
56,2023-01-14,15:00 ,20,Sat,Away,L,0,1,Wolves,1.1,0.9,42,"31,511",Declan Rice,4-3-3,4-2-3-1,Simon Hooper
57,2023-01-21,15:00 ,21,Sat,Home,W,2,0,Everton,2.2,0.5,33,"62,470",Declan Rice,3-4-3,3-4-3,Stuart Attwell
58,2023-02-04,17:30 ,22,Sat,Away,D,1,1,Newcastle Utd,1.0,1.0,38,"52,256",Declan Rice,3-4-3,4-3-3,Peter Bankes
