,Date,Time,Matchweek,Day,Venue,Result,Goals Scored,Goals Conceded,Opponent,xG,xGA,Possession,Attendance,Captain,Formation,Opposition Formation,Referee
119,2020-10-31,12:30 ,7,Sat,Away,W,1,0,Sheffield Utd,1.6,0.5,65,,Kevin De Bruyne,4-3-3,5-3-2,Michael Oliver
120,2020-11-08,16:30 ,8,Sun,Home,D,1,1,Liverpool,1.4,1.2,54,,Kevin De Bruyne,4-2-3-1,4-2-3-1,Craig Pawson
121,2020-11-21,17:30 ,9,Sat,Away,L,0,2,Tottenham,1.4,0.7,66,,Kevin De Bruyne,4-3-3,4-2-3-1,Mike Dean
122,2020-11-28,15:00 ,10,Sat,Home,W,5,0,Burnley,1.7,0.5,68,,Kevin De Bruyne,4-2-3-1,4-4-1-1,Lee Mason
123,2020-12-05,15:00 ,11,Sat,Home,W,2,0,Fulham,2.9,0.3,69,,Kevin De Bruyne,4-2-3-1,3-4-1-2,Jonathan Moss
124,2020-12-12,17:30 ,12,Sat,Away,D,0,0,Manchester Utd,1.3,0.6,54,,Fernandinho,4-2-3-1,4-2-3-1,Chris Kavanagh
125,2020-12-15,20:00 ,13,Tue,Home,D,1,1,West Brom,2.2,0.4,77,,Kevin De Bruyne,4-2-3-1,4-1-4-1,Peter Bankes
126,2020-12-19,15:00 ,14,Sat,Away,W,1,0,Southampton,0.9,0.7,52,,Kevin De Bruyne,4-2-3-1,4-4-2,Mike Dean
127,2020-12-26,20:00 ,15,Sat,Home,W,2,0,Newcastle Utd,3.0,0.3,74,,Kevin De Bruyne,3-4-3◆,5-4-1,Andre Marriner
128,2021-01-03,16:30 ,17,Sun,Away,W,3,1,Chelsea,2.7,0.8,46,,Kevin De Bruyne,4-3-3,4-3-3,Anthony Taylor
129,2021-01-13,18:00 ,18,Wed,Home,W,1,0,Brighton,2.0,0.2,65,,Kevin De Bruyne,4-3-3,4-1-2-1-2,Darren England
130,2021-01-17,19:15 ,19,Sun,Home,W,4,0,Crystal Palace,0.7,0.1,71,,Fernandinho,4-3-3,4-1-4-1,Lee Mason
131,2021-01-20,18:00 ,1,Wed,Home,W,2,0,Aston Villa,3.4,0.6,69,,Kevin De Bruyne,4-3-3,4-2-3-1,Jonathan Moss
132,2021-01-26,20:15 ,20,Tue,Away,W,5,0,West Brom,1.8,0.5,77,,Raheem Sterling,4-3-3,4-4-1-1,Chris Kavanagh
133,2021-01-30,15:00 ,21,Sat,Home,W,1,0,Sheffield Utd,1.5,0.2,75,,Fernandinho,4-3-3,5-3-2,David Coote
134,2021-02-03,18:00 ,22,Wed,Away,W,2,0,Burnley,2.0,0.1,74,,Raheem Sterling,4-3-3,4-4-2,Martin Atkinson
135,2021-02-07,16:30 ,23,Sun,Away,W,4,1,Liverpool,3.5,1.2,44,,Raheem Sterling,4-3-3,4-3-3,Michael Oliver
136,2021-02-13,17:30 ,24,Sat,Home,W,3,0,Tottenham,2.2,0.3,60,,Raheem Sterling,4-3-3,4-2-3-1,Paul Tierney
137,2021-02-17,20:15 ,16,Wed,Away,W,3,1,Everton,1.0,1.0,71,,Raheem Sterling,4-3-3,4-4-1-1,Andre Marriner
138,2021-02-21,16:30 ,25,Sun,Away,W,1,0,Arsenal,1.8,0.3,55,,Fernandinho,4-3-3,4-2-3-1,Jonathan Moss
139,2021-02-27,12:30 ,26,Sat,Home,W,2,1,West Ham,0.5,1.5,63,,Fernandinho,4-3-3,3-4-3,Michael Oliver
140,2021-03-02,20:00 ,29,Tue,Home,W,4,1,Wolves,3.3,0.3,72,,Kevin De Bruyne,4-3-3,3-4-3,Chris Kavanagh
141,2021-03-07,16:30 ,27,Sun,Home,L,0,2,Manchester Utd,1.3,1.7,66,,Kevin De Bruyne,4-2-3-1,4-2-3-1,Anthony Taylor
142,2021-03-10,18:00 ,33,Wed,Home,W,5,2,Southampton,2.6,1.6,58,,Fernandinho,4-3-3,4-4-2,Jonathan Moss
143,2021-03-13,20:00 ,28,Sat,Away,W,3,0,Fulham,2.2,0.3,54,,Sergio Agüero,3-4-3,4-3-3,Andre Marriner
144,2021-04-03,17:30 ,30,Sat,Away,W,2,0,Leicester City,1.4,0.3,56,,Fernandinho,4-2-3-1,3-5-2,Anthony Taylor
145,2021-04-10,12:30 ,31,Sat,Home,L,1,2,Leeds United,2.1,0.1,71,,Fernandinho,4-3-3,4-1-4-1,Andre Marriner
146,2021-04-21,20:15 ,32,Wed,Away,W,2,1,Aston Villa,1.2,0.7,72,,İlkay Gündoğan,4-3-3,4-1-4-1,Peter Bankes
147,2021-05-01,12:30 ,34,Sat,Away,W,2,0,Crystal Palace,1.7,0.9,68,,Fernandinho,4-4-1-1,4-3-3,David Coote
148,2021-05-08,17:30 ,35,Sat,Home,L,1,2,Chelsea,1.8,0.7,48,,Raheem Sterling,3-1-4-2,3-4-3,Anthony Taylor
149,2021-05-14,20:00 ,36,Fri,Away,W,4,3,Newcastle Utd,1.5,2.2,82,,Raheem Sterling,4-3-3,5-3-2,Kevin Friend
150,2021-05-18,19:00 ,37,Tue,Away,L,2,3,Brighton,0.9,1.1,37,"7,945",İlkay Gündoğan,4-3-3,3-5-2,Stuart Attwell
151,2021-05-23,16:00 ,38,Sun,Home,W,5,0,Everton,2.5,1.1,67,"10,000",Fernandinho,4-3-3,4-3-1-2,Michael Oliver
152,2019-08-10,12:30 ,1,Sat,Away,W,5,0,West Ham,3.2,1.1,57,"59,870",David Silva,4-3-3,4-2-3-1,Mike Dean
153,2019-08-17,17:30 ,2,Sat,Home,D,2,2,Tottenham,2.9,0.1,55,"54,503",Kevin De Bruyne,4-2-3-1,4-2-3-1,Michael Oliver
154,2019-08-25,14:00 ,3,Sun,Away,W,3,1,Bournemouth,3.0,2.2,74,"10,486",David Silva,4-3-3,5-4-1,Andre Marriner
155,2019-08-31,15:00 ,4,Sat,Home,W,4,0,Brighton,1.9,0.9,53,"54,386",David Silva,4-3-3,3-4-3,Jonathan Moss
156,2019-09-14,17:30 ,5,Sat,Away,L,2,3,Norwich City,2.3,1.5,68,"27,035",David Silva,4-2-3-1,4-2-3-1,Kevin Friend
157,2019-09-21,15:00 ,6,Sat,Home,W,8,0,Watford,5.9,0.4,68,"54,273",David Silva,4-3-3,4-4-1-1,Mike Dean
158,2019-09-28,17:30 ,7,Sat,Away,W,3,1,Everton,2.8,2.4,63,"39,222",Fernandinho,4-3-3,4-2-3-1,Michael Oliver
159,2019-10-06,14:00 ,8,Sun,Home,L,0,2,Wolves,1.4,1.0,75,"54,435",David Silva,4-2-3-1,3-5-2,Craig Pawson
160,2019-10-19,17:30 ,9,Sat,Away,W,2,0,Crystal Palace,3.5,0.9,71,"25,480",David Silva,4-3-3,4-5-1,Anthony Taylor
161,2019-10-26,12:30 ,10,Sat,Home,W,3,0,Aston Villa,2.9,1.0,63,"54,506",David Silva,4-3-3,4-1-4-1,Graham Scott
162,2019-11-02,15:00 ,11,Sat,Home,W,2,1,Southampton,2.9,0.9,75,"53,922",David Silva,4-3-3,5-3-2,Lee Mason
163,2019-11-10,16:30 ,12,Sun,Away,L,1,3,Liverpool,1.3,1.1,55,"53,324",Fernandinho,4-2-3-1,4-3-3,Michael Oliver
164,2019-11-23,17:30 ,13,Sat,Home,W,2,1,Chelsea,1.0,0.9,47,"54,486",David Silva,4-3-3,4-3-3,Martin Atkinson
165,2019-11-30,12:30 ,14,Sat,Away,D,2,2,Newcastle Utd,2.4,0.3,75,"49,937",David Silva,4-3-3,5-4-1,Chris Kavanagh
166,2019-12-03,20:15 ,15,Tue,Away,W,4,1,Burnley,2.2,0.6,75,"20,101",David Silva,4-3-3,4-4-1-1,Jonathan Moss
167,2019-12-07,17:30 ,16,Sat,Home,L,1,2,Manchester Utd,2.2,1.4,72,"54,403",David Silva,4-3-3,4-2-3-1,Anthony Taylor
